Item,Category,Sort Order
Wheelchair - Manual,Wheelchair,1
Wheelchair - Power,Wheelchair,2
Wheelchair - Transport,Wheelchair,3
Wheelchair - Lightweight,Wheelchair,4
Wheelchair - Ultra Lightweight,Wheelchair,5
Wheelchair - Tilt-in-Space,Wheelchair,6
Wheelchair - Reclining,Wheelchair,7
Wheelchair - Standing,Wheelchair,8
Wheelchair - Bariatric,Wheelchair,9
Wheelchair - Pediatric,Wheelchair,10
Mobility Scooter - 3 Wheel,Mobility Scooter,11
Mobility Scooter - 4 Wheel,Mobility Scooter,12
Mobility Scooter - Heavy Duty,Mobility Scooter,13
Mobility Scooter - Portable Travel,Mobility Scooter,14
Mobility Scooter - Folding,Mobility Scooter,15
Mobility Scooter - All Terrain,Mobility Scooter,16
Walker - Standard,Walker,17
Walker - Two Wheel,Walker,18
Walker - Four Wheel Rollator,Walker,19
Walker - Rollator Seat,Walker,20
Walker - Bariatric,Walker,21
Walker - Pediatric,Walker,22
Walker - Upright,Walker,23
Cane - Single Point,Cane,24
Cane - Quad Small Base,Cane,25
Cane - Quad Large Base,Cane,26
Cane - Offset Handle,Cane,27
Cane - Folding,Cane,28
Crutches - Underarm Adult,Crutches,29
Crutches - Underarm Youth,Crutches,30
Crutches - Forearm Adult,Crutches,31
Crutches - Forearm Pediatric,Crutches,32
Crutches - Platform,Crutches,33
Knee Scooter - Standard,Knee Scooter,34
Knee Scooter - All Terrain,Knee Scooter,35
Knee Scooter - Foldable,Knee Scooter,36
Knee Scooter - Bariatric,Knee Scooter,37
Transfer Device - Transfer Board,Transfer Equipment,38
Transfer Device - Sliding Board,Transfer Equipment,39
Transfer Device - Pivot Disc,Transfer Equipment,40
Transfer Device - Transfer Belt,Transfer Equipment,41
Patient Lift - Manual Hoyer,Patient Lift,42
Patient Lift - Electric Hoyer,Patient Lift,43
Patient Lift - Sit-to-Stand,Patient Lift,44
Patient Lift - Ceiling Lift,Patient Lift,45
Patient Lift - Portable,Patient Lift,46
Wheelchair Ramp - Portable Folding,Wheelchair Ramp,47
Wheelchair Ramp - Threshold,Wheelchair Ramp,48
Wheelchair Ramp - Modular,Wheelchair Ramp,49
Wheelchair Ramp - Vehicle,Wheelchair Ramp,50
Stair Lift - Straight Rail,Stair Lift,51
Stair Lift - Curved Rail,Stair Lift,52
Stair Lift - Outdoor,Stair Lift,53
Hospital Bed - Manual,Hospital Bed,54
Hospital Bed - Semi Electric,Hospital Bed,55
Hospital Bed - Full Electric,Hospital Bed,56
Hospital Bed - Low Bed,Hospital Bed,57
Hospital Bed - Bariatric,Hospital Bed,58
Hospital Bed - Trendelenburg,Hospital Bed,59
Bed Accessory - Half Bed Rail,Bed Accessory,60
Bed Accessory - Full Bed Rail,Bed Accessory,61
Bed Accessory - Trapeze Bar,Bed Accessory,62
Bed Accessory - Bed Assist Handle,Bed Accessory,63
Bed Accessory - Bed Ladder,Bed Accessory,64
Overbed Table - Standard,Overbed Table,65
Overbed Table - Tilt Top,Overbed Table,66
Overbed Table - Split Top,Overbed Table,67
Overbed Table - Bariatric,Overbed Table,68
Pressure Mattress - Foam Pressure Relief,Pressure Mattress,69
Pressure Mattress - Alternating Pressure,Pressure Mattress,70
Pressure Mattress - Low Air Loss,Pressure Mattress,71
Pressure Mattress - Air Fluidized,Pressure Mattress,72
Positioning Cushion - Wedge Pillow,Positioning Cushion,73
Positioning Cushion - Bolster Pillow,Positioning Cushion,74
Positioning Cushion - Body Alignment,Positioning Cushion,75
Positioning Cushion - Bed Positioner,Positioning Cushion,76
Oxygen Concentrator - Stationary,Oxygen Concentrator,77
Oxygen Concentrator - Portable,Oxygen Concentrator,78
Oxygen Concentrator - High Flow,Oxygen Concentrator,79
Oxygen Cylinder - M6 Cylinder,Oxygen Cylinder,80
Oxygen Cylinder - E Cylinder,Oxygen Cylinder,81
Oxygen Cylinder - H Cylinder,Oxygen Cylinder,82
CPAP Machine - Standard,CPAP,83
CPAP Machine - Auto,CPAP,84
CPAP Machine - Travel,CPAP,85
BiPAP Machine - Standard,BiPAP,86
BiPAP Machine - Auto,BiPAP,87
BiPAP Machine - ST,BiPAP,88
Ventilator - Home,Ventilator,89
Ventilator - Portable,Ventilator,90
Ventilator - Transport,Ventilator,91
Nebulizer - Compressor,Nebulizer,92
Nebulizer - Portable,Nebulizer,93
Nebulizer - Ultrasonic,Nebulizer,94
Suction Machine - Portable,Suction Machine,95
Suction Machine - Stationary,Suction Machine,96
Pulse Oximeter - Finger,Respiratory Monitor,97
