old_name,new_name
"Vmdk-Disk.svg","vmdk-disk.svg"
"Ppt.svg","ppt.svg"
"Calendar-Heat-Map.svg","calendar-heat-map.svg"
"Building.svg","building.svg"
"Home.svg","home.svg"
"Help-Filled.svg","help-filled.svg"
"Arrows-Horizontal.svg","arrows-horizontal.svg"
"Text-Small-Caps.svg","text-small-caps.svg"
"Distribute-Horizontal-Left.svg","distribute-horizontal-left.svg"
"Text-Font.svg","text-font.svg"
"Align-Horizontal-Right.svg","align-horizontal-right.svg"
"Help.svg","help.svg"
"Event-Schedule.svg","event-schedule.svg"
"Favorite-Filled.svg","favorite-filled.svg"
"Checkbox-Checked.svg","checkbox-checked.svg"
"Finance.svg","finance.svg"
"Reminder-Medical.svg","reminder-medical.svg"
"Document-Pdf.svg","document-pdf.svg"
"Arrow-Right.svg","arrow-right.svg"
"Generate-Pdf.svg","generate-pdf.svg"
"Accessibility.svg","accessibility.svg"
"Tif.svg","tif.svg"
"Pricing-Traditional.svg","pricing-traditional.svg"
"User-Settings.svg","user-settings.svg"
"Diagram.svg","diagram.svg"
"User.svg","user.svg"
"List-Dropdown.svg","list-dropdown.svg"
"Logo-Facebook.svg","logo-facebook.svg"
"Distribute-Horizontal-Center.svg","distribute-horizontal-center.svg"
"Text-Bold.svg","text-bold.svg"
"Information.svg","information.svg"
"Bare-Metal-Server.svg","bare-metal-server.svg"
"Data-Table.svg","data-table.svg"
"Folder.svg","folder.svg"
"Document 2.svg","document-2.svg"
"Text-Clear-Format.svg","text-clear-format.svg"
"Save.svg","save.svg"
"Piggy-Bank.svg","piggy-bank.svg"
"Text-Color.svg","text-color.svg"
"Need.svg","need.svg"
"Trash-Can.svg","trash-can.svg"
"Template.svg","template.svg"
"Forum.svg","forum.svg"
"Result.svg","result.svg"
"Group.svg","group.svg"
"Phrase-Sentiment.svg","phrase-sentiment.svg"
"Checkbox-Checked-Filled.svg","checkbox-checked-filled.svg"
"Mp4.svg","mp4.svg"
"Png.svg","png.svg"
"Bat.svg","bat.svg"
"Collapse-Categories.svg","collapse-categories.svg"
"Arrow-Down-Right.svg","arrow-down-right.svg"
"Task.svg","task.svg"
"Checkbox-Indeterminate-Filled.svg","checkbox-indeterminate-filled.svg"
"Radio-Button-Checked.svg","radio-button-checked.svg"
"Service-Desk 2.svg","service-desk-2.svg"
"Text-Scale.svg","text-scale.svg"
"Checkmark-Filled.svg","checkmark-filled.svg"
"Arrow-Up.svg","arrow-up.svg"
"Money.svg","money.svg"
"Notification.svg","notification.svg"
"Edit-Off.svg","edit-off.svg"
"Email-New.svg","email-new.svg"
"Text-Underline.svg","text-underline.svg"
"Align-Vertical-Center.svg","align-vertical-center.svg"
"Mov.svg","mov.svg"
"Text-Align-Left.svg","text-align-left.svg"
"Image.svg","image.svg"
"Pen.svg","pen.svg"
"Printer.svg","printer.svg"
"Xls.svg","xls.svg"
"Export.svg","export.svg"
"Svg.svg","svg.svg"
"Logo-Instagram.svg","logo-instagram.svg"
"List.svg","list.svg"
"Text-Indent-Less.svg","text-indent-less.svg"
"Align-Horizontal-Center.svg","align-horizontal-center.svg"
"Next-Outline.svg","next-outline.svg"
"Apps.svg","apps.svg"
"User-Multiple.svg","user-multiple.svg"
"Align-Vertical-Bottom.svg","align-vertical-bottom.svg"
"Arrow-Up-Right.svg","arrow-up-right.svg"
"Arrow-Down.svg","arrow-down.svg"
"Align-Vertical-Top.svg","align-vertical-top.svg"
"List-Bulleted.svg","list-bulleted.svg"
"Purchase.svg","purchase.svg"
"Chart-Bar-Stacked.svg","chart-bar-stacked.svg"
"Checkmark-Outline.svg","checkmark-outline.svg"
"Download.svg","download.svg"
"Text-Indent-More.svg","text-indent-more.svg"
"User-Follow.svg","user-follow.svg"
"Chart-Histogram.svg","chart-histogram.svg"
"Distribute-Horizontal-Right.svg","distribute-horizontal-right.svg"
"Distribute-Vertical-Bottom.svg","distribute-vertical-bottom.svg"
"Mobile.svg","mobile.svg"
